mode,sf,src,threads,mean_time
udf,100,1024,1,4.5010352
udf,100,32768,8,63.3788366
udf,100,512,4,1.7275016
udf,300,1024,1,16.5964134
udf,300,131072,1,1096.8099368
udf,300,16384,2,157.1959698
udf,300,32768,8,300.4649404
udf,30,16384,2,7.3745452
udf,30,65536,8,28.549726600000003
udf,100,32768,2,63.883460400000004
udf,100,65536,4,123.345809
udf,300,1024,2,12.725693
udf,300,131072,4,1037.245392
udf,300,32768,4,277.2200558
udf,300,512,4,7.2434362
udf,300,65536,8,564.3081728
udf,30,2048,2,1.235906
udf,30,512,2,0.574438
udf,30,65536,2,28.568232799999997
udf,100,131072,4,236.1341284
udf,100,16384,4,31.7522134
udf,100,2048,1,6.4074444
udf,100,2048,2,5.2589174
udf,100,32768,1,63.924496399999995
udf,100,512,2,2.241928
udf,300,16384,4,158.032717
udf,300,32768,1,307.7745526
udf,30,1024,4,0.6804262
udf,30,131072,2,54.493241
udf,30,131072,8,54.3839052
udf,30,16384,1,7.7473012
udf,30,65536,4,28.6089146
udf,100,1024,8,2.4817408
udf,100,131072,1,248.5835556
udf,100,16384,8,31.3442274
udf,100,2048,8,4.550457400000001
udf,300,131072,8,1043.6511188
udf,300,2048,4,20.9276194
udf,300,32768,2,278.270006
udf,300,512,8,6.6244380000000005
udf,300,65536,4,558.954357
udf,30,32768,1,14.8434212
udf,30,65536,1,28.907651199999997
udf,100,131072,2,235.0578308
udf,100,16384,2,32.026555
udf,100,32768,4,63.06063340000001
udf,100,512,8,1.4544802000000001
udf,300,2048,1,27.7461454
udf,300,2048,2,23.8512642
udf,30,1024,1,1.1689712
udf,100,1024,4,2.6322234
udf,100,131072,8,234.74928979999999
udf,100,2048,4,4.696450799999999
udf,100,65536,1,126.2691316
udf,100,65536,8,123.7680988
udf,300,131072,2,1030.8397916
udf,300,16384,8,149.3388786
udf,30,1024,2,0.9017852
udf,30,131072,1,61.487406
udf,30,2048,1,1.5461544
udf,30,2048,4,1.0736552
udf,30,2048,8,1.0168110000000001
udf,30,32768,2,14.5085808
udf,30,512,8,0.364176
udf,100,16384,1,33.02198980000001
udf,100,65536,2,124.433602
udf,300,1024,4,11.114433000000002
udf,300,2048,8,20.9531582
udf,300,512,1,12.840267800000001
udf,300,65536,2,561.5210119999999
udf,30,16384,4,7.2966636
udf,30,512,1,0.8985974000000001
udf,30,512,4,0.43199699999999996
udf,100,1024,2,3.3648417999999998
udf,300,1024,8,10.3561348
udf,300,16384,1,144.93256879999998
udf,300,65536,1,608.2543218
udf,30,1024,8,0.6301354
udf,30,131072,4,54.20273039999999
udf,30,16384,8,7.211825
udf,30,32768,4,14.3272366
udf,30,32768,8,14.7886598
